UserID,Channel2,RecordDate2,Duration 2
903994,Trace TV,1/4/2016 18:09,2026-07-30T00:02:00.000Z
802352,ICC Cricket World Cup 2011,3/30/2016 9:04,2026-07-30T00:10:06.000Z
866125,ICC Cricket World Cup 2011,3/30/2016 17:01,2026-07-30T00:00:42.000Z
2425604,ICC Cricket World Cup 2011,3/25/2016 15:23,2026-07-30T00:00:10.000Z
793571,SawSee,2/2/2016 17:18,2026-07-30T00:01:33.000Z
793571,Boomerang,3/18/2016 16:56,2026-07-30T00:00:10.000Z
793571,Channel O,3/20/2016 4:25,2026-07-30T00:17:15.000Z
793571,Boomerang,2/3/2016 6:43,2026-07-30T00:01:13.000Z
819248,Channel O,3/31/2016 10:01,2026-07-30T00:04:45.000Z
820321,Cartoon Network,1/9/2016 8:25,2026-07-30T00:00:40.000Z
892453,Supersport Live Events,3/24/2016 9:09,2026-07-30T00:00:06.000Z
892453,ICC Cricket World Cup 2011,3/26/2016 15:33,2026-07-30T05:01:12.000Z
828799,Channel O,2/28/2016 8:09,2026-07-30T00:00:00.000Z
787656,Channel O,2/15/2016 8:40,2026-07-30T00:11:15.000Z
939566,Supersport Live Events,1/9/2016 15:40,2026-07-30T00:22:02.000Z
771778,Supersport Live Events,2/5/2016 13:47,2026-07-30T00:04:12.000Z
808915,SuperSport Blitz,2/20/2016 5:34,2026-07-30T00:01:14.000Z
808915,Supersport Live Events,2/21/2016 13:45,2026-07-30T00:00:50.000Z
808916,E! Entertainment,2/19/2016 11:03,2026-07-30T00:01:42.000Z
808916,Boomerang,2/19/2016 20:15,2026-07-30T00:00:00.000Z
831679,Supersport Live Events,3/1/2016 3:17,2026-07-30T00:00:50.000Z
808917,Break in transmission,2/27/2016 18:13,2026-07-30T00:00:26.000Z
808917,Supersport Live Events,2/28/2016 20:20,2026-07-30T00:00:24.000Z
939570,kykNET,3/30/2016 23:52,2026-07-30T00:01:24.000Z
880213,Africa Magic,3/30/2016 19:13,2026-07-30T00:00:11.000Z
2255459,SawSee,3/9/2016 8:51,2026-07-30T00:00:15.000Z
2255459,Channel O,3/29/2016 2:23,2026-07-30T00:07:54.000Z
808921,Trace TV,3/2/2016 6:01,2026-07-30T00:18:27.000Z
808921,Channel O,3/6/2016 15:58,2026-07-30T00:00:48.000Z
831683,CNN,2/25/2016 19:48,2026-07-30T00:00:42.000Z
831683,Africa Magic,2/25/2016 15:59,2026-07-30T00:00:00.000Z
831683,ICC Cricket World Cup 2011,3/4/2016 7:21,2026-07-30T00:00:00.000Z
